time_ms,gpsAlt,latitude,longitude,groundSpeed,verticalSpeed,sats,acceleration,deployPct,apogeeEstimate
1,443.0000,39.8530,-83.6553,7.85,11.88,0,9.6914,0.00,0.00
28,443.0000,39.8530,-83.6553,7.85,11.88,0,9.6914,0.00,0.00
32,443.0000,39.8530,-83.6553,7.85,11.88,0,-1.5703,0.00,0.00
2330,688.0000,39.8528,-83.6551,7.55,8.77,14,-1.5703,691.91,0.00
2339,688.0000,39.8528,-83.6551,7.55,8.77,14,-1.5703,691.91,0.00
4609,864.0000,39.8527,-83.6550,10.12,6.10,14,-1.3359,865.87,0.00
4614,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.8477,865.87,0.00
4644,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4649,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4654,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4656,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4660,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4662,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4664,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
4666,864.0000,39.8527,-83.6550,10.12,6.10,14,-0.7695,865.87,0.00
6917,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.7695,979.73,0.00
6921,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6950,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6954,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6960,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6962,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6964,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6966,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6969,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
6970,979.0000,39.8525,-83.6548,9.63,3.78,23,-0.3477,979.73,0.00
9223,1040.0000,39.8523,-83.6546,9.43,1.45,24,-0.1523,1040.09,0.00
9228,1040.0000,39.8523,-83.6546,9.43,1.45,24,-0.1523,1040.09,0.00
11502,1050.0000,39.8522,-83.6544,8.27,-0.65,24,-0.1523,1050.00,0.00
