Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.7509131733327288939999659471,0.750913173332729,0.750913173332729,0.750913173332729,0.750913173332729,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,455628.8
0.02,0,0.7331620996280038497081175509,0.733162099628004,0.733162099628004,0.733162099628004,0.733162099628004,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,911257.7
0.03,0,0.7242190935559148259410222081,0.724219093555915,0.724219093555915,0.724219093555915,0.724219093555915,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,1366886
0.04,0,0.7121275747471737673134020930,0.712127574747174,0.712127574747174,0.712127574747174,0.712127574747174,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,1822515
0.05,0,0.7015131141439845343044310561,0.701513114143984,0.701513114143984,0.701513114143984,0.701513114143984,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,2278144
0.06,0,0.7018140040978928805605647528,0.701814004097893,0.701814004097893,0.701814004097893,0.701814004097893,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,2733773
0.07,0,0.7009689884526512540627064385,0.700968988452651,0.700968988452651,0.700968988452651,0.700968988452651,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,3189402
0.08,0,0.6995688085562256088069701580,0.699568808556226,0.699568808556226,0.699568808556226,0.699568808556226,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,3645031
0.09,0,0.6979024055994190674106596411,0.697902405599419,0.697902405599419,0.697902405599419,0.697902405599419,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,4100660
0.10,0,0.6973791572034641901546672846,0.697379157203464,0.697379157203464,0.697379157203464,0.697379157203464,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,4556288
0.11,0,0.6973457722999478803406968647,0.697345772299948,0.697345772299948,0.697345772299948,0.697345772299948,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,5011918
0.12,0,0.6973123589460567266256844421,0.697312358946057,0.697312358946057,0.697312358946057,0.697312358946057,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,5467546
0.13,0,0.6972789177198159767624677343,0.697278917719816,0.697278917719816,0.697278917719816,0.697278917719816,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,5923175
0.14,0,0.6972380599723041533209251113,0.697238059972304,0.697238059972304,0.697238059972304,0.697238059972304,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,6378804
0.15,0,0.6972045647096543679959142241,0.697204564709654,0.697204564709654,0.697204564709654,0.697204564709654,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,6834433
0.16,0,0.6971710432702427940946088453,0.697171043270243,0.697171043270243,0.697171043270243,0.697171043270243,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,7290062
0.17,0,0.6971374962066865911243572184,0.697137496206687,0.697137496206687,0.697137496206687,0.697137496206687,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,7745690
0.18,0,0.6971039240654383869753097571,0.697103924065438,0.697103924065438,0.697103924065438,0.697103924065438,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,8201320
0.19,0,0.6970703273868567274619844978,0.697070327386857,0.697070327386857,0.697070327386857,0.697070327386857,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,8656948
0.20,0,0.6970367067052799155849128311,0.69703670670528,0.69703670670528,0.69703670670528,0.69703670670528,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,9112577
0.21,0,0.6970030625490927713521246746,0.697003062549093,0.697003062549093,0.697003062549093,0.697003062549093,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,9568205
0.22,0,0.6969693954408024159008343440,0.696969395440802,0.696969395440802,0.696969395440802,0.696969395440802,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,10023840
0.23,0,0.6969357058971021640288655162,0.696935705897102,0.696935705897102,0.696935705897102,0.696935705897102,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,10479460
0.24,0,0.6969019944289397064461564717,0.69690199442894,0.69690199442894,0.69690199442894,0.69690199442894,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,10935090
0.25,0,0.6968682615415873817463456165,0.696868261541587,0.696868261541587,0.696868261541587,0.696868261541587,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,11390720
0.26,0,0.6971020678896579700538827466,0.697102067889658,0.697102067889658,0.697102067889658,0.697102067889658,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,11846350
0.27,0,0.6973358538123151597783750363,0.697335853812315,0.697335853812315,0.697335853812315,0.697335853812315,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,12301980
0.28,0,0.6975696022048082675851408373,0.697569602204808,0.697569602204808,0.697569602204808,0.697569602204808,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,12757610
0.29,0,0.6978033487371191353128492428,0.697803348737119,0.697803348737119,0.697803348737119,0.697803348737119,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,13213240
0.30,0,0.6980370762937258530370836607,0.698037076293726,0.698037076293726,0.698037076293726,0.698037076293726,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,13668870
0.31,0,0.6982707677538142690456372616,0.698270767753814,0.698270767753814,0.698270767753814,0.698270767753814,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,14124490
0.32,0,0.6985044587714843876637080776,0.698504458771484,0.698504458771484,0.698504458771484,0.698504458771484,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,14580120
0.33,0,0.6987381322155187820375428549,0.698738132215519,0.698738132215519,0.698738132215519,0.698738132215519,0,0,0,0,15.3961920316489,62.2933259238460709816289693,62.2933259238460709816289693,15035750
