Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,24.0397,0,0,48.3281,62.29333,4.468874,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.7647939,0,32.22412,24.0397,0,0,48.31632,62.29333,4.472643,10.9537849276202,10.9537849273616,0.00007527218180115,0.109537800002586,0.1095378,0.0000007527218,89.9999,89.9999,0.000547689,0.000000003763609
0.02,S,0.02,0.010,0,0.7647939,0,64.44825,24.03891,0.0000005568756,0,48.30454,62.29333,4.476413,54.0844169122951,54.0844169120856,0.000150549334349378,0.65038190000392,0.6503819,0.000002258215,89.9999,89.9999,0.004347288,0.00000001881829
0.03,S,0.03,0.010,0,0.7647939,0,96.67237,24.03652,0.00001963211,0,48.29276,62.29333,4.480183,97.2264273724532,97.2264273721909,0.000225846343889404,1.62264600000629,1.622646,0.000004516678,89.9999,89.9999,0.01571243,0.00000005269276
0.04,S,0.04,0.010,0,0.764794,0,128.8965,24.03255,0.0001222018,0,48.28098,62.29333,4.483953,140.388293446787,140.388293446464,0.000301178010250681,3.02652900000936,3.026529,0.000007528458,89.9999,89.9999,0.0389583,0.0000001129184
0.05,S,0.05,0.010,0,0.7647942,0,161.1206,24.02699,0.0004251279,0,48.2692,62.29333,4.487722,183.578425138192,183.578425137806,0.000376559007224702,4.86231300001312,4.862313,0.00001129405,89.9999,89.9999,0.07840251,0.000000207031
0.05999999,S,0.05999999,0.010,0,0.7647945,0,193.3447,24.01984,0.001097275,0,48.25742,62.29333,4.491492,226.805199370123,226.805199369673,0.000452003959757906,7.13036500001754,7.130365,0.00001581409,89.9999,89.9999,0.1383659,0.0000003425717
0.06999999,S,0.06999999,0.010,0,0.7647951,0,225.5688,24.0111,0.002359679,0,48.24564,62.29333,4.495262,270.076872773523,270.076872773008,0.000527527273882459,9.83113400002262,9.831134,0.00002108936,89.9999,89.9999,0.2231734,0.000000527089
0.07999999,S,0.07999999,0.010,0,0.7647957,0,257.793,24.00077,0.004485759,0,48.23385,62.29333,4.499032,313.40179948679,313.40179948621,0.000603143534828519,12.9651500000284,12.96515,0.00002712079,89.9999,89.9999,0.3371548,0.0000007681397
0.08999999,S,0.08999999,0.01165793,0,0.7321202,0,290.0171,23.98886,0.007468259,0,48.22207,62.29333,4.502801,356.78865380116,356.788653800514,0.00067886787762824,16.5330400000348,16.53304,0.00003390947,89.9999,89.9999,0.4846458,0.000001073291
0.09999999,S,0.09999999,0.01486609,0,0.7288248,0,322.2412,23.97535,0.01208951,0,48.21029,62.29333,4.506571,400.245071926014,400.245071925302,0.000754713634420403,20.5354900000418,20.53549,0.00004145661,89.9999,89.9999,0.6699884,0.000001450121
0.11,S,0.11,0.018465,0,0.7330852,0,338.2431,23.96026,0.01876043,0,48.19851,62.29333,4.510341,421.996020077472,421.996020076727,0.000792676198463252,24.7554500000493,24.75545,0.00004938337,89.9999,89.9999,0.8964431,0.000001904321
0.12,S,0.12,0.0222595,0,0.7328042,0,354.245,23.94398,0.02725243,0,48.18673,62.29333,4.514111,443.79553581121,443.795535810433,0.000830723530585159,29.193410000057,29.19341,0.0000576906,89.9999,89.9999,1.166187,0.000002439691
0.13,S,0.13,0.02625004,0,0.7300291,0,370.2469,23.9269,0.03775569,0,48.17495,62.29333,4.51788,465.638458342568,465.638458341757,0.00086884661843428,33.8498000000651,33.8498,0.00006637906,89.9999,89.9999,1.481403,0.000003060039
0.14,S,0.14,0.03043698,0,0.7258884,0,386.2488,23.90904,0.05047205,0,48.16317,62.29333,4.52165,487.526723659663,487.526723658819,0.000907048849923397,38.7250700000735,38.72507,0.00007544956,89.9999,89.9999,1.844278,0.000003769182
0.15,S,0.15,0.03482076,0,0.7210163,0,402.2508,23.89039,0.06561366,0,48.15139,62.29333,4.52542,509.46236328729,509.462363286413,0.000945333761753996,43.8196900000823,43.81969,0.0000849029,89.9999,89.9999,2.257002,0.000004570944
0.16,S,0.16,0.03940179,0,0.7157803,0,408.2532,23.87095,0.0834024,0,48.13961,62.29333,4.52919,517.969715526792,517.969715525902,0.000960181892573559,48.9993900000911,48.99939,0.00009450472,89.9999,89.9999,2.721097,0.000005467983
0.17,S,0.17,0.04405935,0,0.7105327,0,414.2556,23.85097,0.103519,0,48.12783,62.29333,4.532959,526.500463542736,526.500463541833,0.000975070854630402,54.2643900001002,54.26439,0.0001042554,89.9999,89.9999,3.237416,0.000006461783
0.18,S,0.18,0.04879363,0,0.7053875,0,420.258,23.83069,0.1260395,0,48.11605,62.29333,4.536729,535.049346555018,535.049346554102,0.0009899914675168,59.6148800001093,59.61488,0.0001141553,89.9999,89.9999,3.806812,0.000007553837
0.19,S,0.19,0.0536048,0,0.701548,0,426.2604,23.81012,0.1512897,0,48.10427,62.29333,4.540499,543.616241767765,543.616241766836,0.0010049435213855,65.0510400001186,65.05104,0.0001242047,89.9999,89.9999,4.430142,0.000008745636
0.2,S,0.2,0.05849304,0,0.7018608,0,432.2628,23.78925,0.1802167,0,48.09249,62.29333,4.544269,552.200242469548,552.200242468606,0.0010199254292586,70.573040000128,70.57304,0.0001344039,89.9999,89.9999,5.108263,0.00001003868
0.21,S,0.21,0.0634585,0,0.7018318,0,429.8618,23.76808,0.2120989,0,48.08071,62.29333,4.548039,549.427372295178,549.42737229424,0.00101508585803637,76.0673100001374,76.06731,0.0001445548,89.9999,89.9999,5.841464,0.00001143347
0.22,S,0.22,0.06839907,0,0.7015569,0,427.4609,23.74683,0.246308,0,48.06892,62.29333,4.551808,546.648597325168,546.648597324235,0.00101023598213015,81.5337900001467,81.53379,0.0001546572,89.9999,89.9999,6.629469,0.00001292953
0.23,S,0.23,0.07331469,0,0.7011096,0,425.0599,23.72569,0.2827951,0,48.05714,62.29333,4.555578,543.858873986164,543.858873985235,0.00100536699622059,86.972380000156,86.97238,0.0001647109,89.9999,89.9999,7.472,0.00001452637
0.24,S,0.24,0.07820527,0,0.700541,0,422.6589,23.70468,0.3215121,0,48.04536,62.29333,4.559348,541.05822795642,541.058227955495,0.00100047894507158,92.3829700001652,92.38297,0.0001747157,89.9999,89.9999,8.368777,0.00001622351
0.25,S,0.25,0.08307071,0,0.6998874,0,420.258,23.68378,0.3624122,0,48.03358,62.29333,4.563118,538.246868159483,538.246868158562,0.000995572197890887,97.7654400001744,97.76544,0.0001846714,89.9999,89.9999,9.319519,0.00001802044
0.26,S,0.26,0.08791092,0,0.699175,0,419.6555,23.663,0.4054495,0,48.0218,62.29333,4.566888,537.870068682494,537.870068681574,0.000994914558402557,103.144100000184,103.1441,0.0001946205,89.9999,89.9999,10.32407,0.0000199169
0.27,S,0.27,0.09274773,0,0.6984194,0,419.053,23.64229,0.4507894,0,48.01002,62.29333,4.570657,537.459544434075,537.459544432997,0.0010764715411418,108.518695324392,108.518695324198,0.000205385215170808,89.99989,89.99989,11.40925,0.00002191693
0.28,S,0.28,0.09758098,0,0.6976344,0,418.4505,23.62161,0.4984178,0,47.99824,62.29333,4.574427,537.071089034468,537.071089033384,0.0010789321942707,113.889406094692,113.889406094487,0.000216174536872355,89.99989,89.99989,12.54815,0.00002402473
0.29,S,0.29,0.1024108,0,0.6973711,0,417.848,23.60096,0.5487494,0,47.98646,62.29333,4.578197,536.677483793437,536.677483792348,0.00108123700547896,119.25618081267,119.256180812454,0.000226986906685469,89.99989,89.99989,13.74071,0.00002624054
0.3,S,0.3,0.1072371,0,0.697355,0,417.2455,23.58035,0.6016524,0,47.97468,62.29333,4.581967,536.279038655142,536.279038654048,0.00108339935949724,124.618971079354,124.618971079127,0.000237820900038283,89.99989,89.99989,14.9869,0.00002856458
0.31,S,0.31,0.1120599,0,0.6973389,0,416.2474,23.55976,0.6569436,0,47.9629,62.29333,4.585737,535.335536843692,535.335536842594,0.00108439748448001,129.972326328134,129.972326327896,0.000248664874640701,89.99989,89.99989,16.28662,0.00003099701
0.32,S,0.32,0.1168743,0,0.6973228,0,415.2492,23.53921,0.7145569,0,47.95112,62.29333,4.589506,534.386320933502,534.3863209324,0.00108526764355538,135.316189418024,135.316189417775,0.000259517550833679,89.99989,89.99989,17.63979,0.00003353792
0.33,S,0.33,0.1216802,0,0.6973068,0,414.2511,23.51871,0.7744781,0,47.93934,62.29333,4.593276,533.431136611416,533.43113661031,0.00108601717331411,140.650500664907,140.650500664647,0.000270377722324076,89.99989,89.99989,19.04629,0.00003618739
0.3399999,S,0.3399999,0.1264776,0,0.6972907,0,413.253,23.49826,0.8366934,0,47.92756,62.29333,4.597046,532.470055403007,532.470055401898,0.00108665518386167,145.975201099921,145.97520109965,0.000281244273919806,89.99989,89.99989,20.50604,0.00003894551
0.3499999,S,0.3499999,0.1312664,0,0.6972747,0,412.2548,23.47786,0.901188,0,47.91578,62.29333,4.600816,531.502783258688,531.502783257576,0.00108718749596427,151.290228813708,151.290228813426,0.000292116148636443,89.99989,89.99989,22.01894,0.00004181231
0.3599999,S,0.3599999,0.1360466,0,0.6972587,0,409.2514,23.4575,0.9679475,0,47.904,62.29333,4.604586,527.779590960501,527.779590959391,0.00108230529797954,156.568024605345,156.568024605052,0.000302939201374324,89.99989,89.99989,23.58462,0.00004478759
0.3699999,S,0.3699999,0.1407934,0,0.6972428,0,406.2479,23.43725,1.036594,0,47.89222,62.29333,4.608355,524.044875097398,524.044875096291,0.00107729865080033,161.808473239186,161.808473238882,0.000313712187641532,89.99989,89.99989,25.20271,0.00004787084
0.3799999,S,0.3799999,0.1455067,0,0.6972196,0,403.2445,23.41715,1.107063,0,47.88044,62.29333,4.612125,520.297785309764,520.297785308659,0.00107217116208905,167.011450975988,167.011450975673,0.000324433899022774,89.99989,89.99989,26.87282,0.00005106157
0.3899999,S,0.3899999,0.1501863,0,0.6972039,0,400.241,23.39719,1.179325,0,47.86866,62.29333,4.615895,516.538281861167,516.538281860065,0.00106692830397226,172.176833679144,172.176833678818,0.00033510318182402,89.99989,89.99989,28.59459,0.00005435926
0.3999999,S,0.3999999,0.1548323,0,0.6971884,0,397.2376,23.37738,1.253318,0,47.85688,62.29333,4.619665,512.76666674848,512.766666747381,0.00106157697345162,177.304500232017,177.30450023168,0.000345718951321255,89.99989,89.99989,30.36763,0.00005776337
