Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,127,0,0,117,140.0737,3.703636,0,0,0,0,0,0,85,85,0,0
0.010,S,0.010,0.010,0,0.8783742,0,1048.059,127,0,0,116.9869,140.0737,3.705735,233.479044536579,232.329412836882,23.1410494270123,5.18236647627175,2.323294,0.2314105,85,85,0.01161647,0.001157052
0.02,S,0.02,0.010,0,0.8783742,0,1067.286,126.955,0.005013912,0,116.9738,140.0737,3.707835,238.444416584159,237.276239511859,23.5738406559218,6.76400886241771,4.696056,0.4671489,85,85,0.04671322,0.00464985
0.03,S,0.03,0.010,0,0.8783743,0,1085.924,126.9091,0.008541388,0,116.9608,140.0737,3.709934,243.265977650379,242.079778688009,23.9940957854105,8.76026211421089,7.116854,0.7070898,85,85,0.1057778,0.01052104
0.04,S,0.04,0.010,0,0.8783748,0,1103.972,126.8624,0.01432695,0,116.9477,140.0737,3.712033,247.94286919722,246.739176976351,24.4017403228272,10.9773777905382,9.584246,0.9511072,85,85,0.1892833,0.01881203
0.05,S,0.05,0.010,0,0.8783752,0,1121.432,126.8148,0.02249655,0,116.9346,140.0737,3.714133,252.475135525462,251.254480250053,24.7967782761412,13.330160103403,12.09679,1.199075,85,85,0.2976885,0.02956294
0.05999999,S,0.05999999,0.01157725,0,0.8553655,0,1138.304,126.7665,0.03230425,0,116.9215,140.0737,3.716232,256.862993646894,255.625906286111,25.1792283568941,15.7783466377623,14.65305,1.450867,85,85,0.4314377,0.04281265
0.06999999,S,0.06999999,0.0137035,0,0.8300794,0,1154.589,126.7175,0.0439216,0,116.9085,140.0737,3.718331,261.106409959335,259.853422935027,25.5490882577519,18.3007425808235,17.25159,1.706358,85,85,0.5909609,0.05859877
0.07999999,S,0.07999999,0.01589422,0,0.8088446,0,1170.288,126.6677,0.05757528,0,116.8954,140.0737,3.72043,265.205526266434,263.937172749165,25.9063699393381,20.8849615640391,19.89096,1.965422,85,85,0.7766736,0.07695767
0.08999999,S,0.08999999,0.01813862,0,0.7906823,0,1185.402,126.6172,0.07329942,0,116.8823,140.0737,3.722529,269.160386475839,267.877200541018,26.25107765655,23.5230836491879,22.56973,2.227933,85,85,0.9889771,0.09792445
