pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 970.0,  317, 33.4,  5.4,  5.4, 17, 17, 5.80,160, 3.1
 966.0,  354, 34.2, -2.8, -2.5,  9,  9, 3.22,161, 3.4
 925.0,  744, 30.6, -3.4, -3.0, 11, 11, 3.21,175, 6.7
 891.0, 1074, 27.4, -3.9, -3.5, 13, 13, 3.21,180, 7.7
 850.0, 1489, 23.4, -4.6, -4.1, 15, 15, 3.20,180, 7.2
 800.0, 2012, 18.6, -5.4, -4.8, 19, 19, 3.20,189, 7.7
 795.0, 2066, 18.3, -6.2, -5.5, 18, 18, 3.02,190, 7.7
 747.0, 2596, 15.4,-14.6,-13.0, 11, 11, 1.65,234, 4.0
 736.0, 2720, 14.3,-15.0,-13.4, 12, 12, 1.63,245, 3.1
 719.0, 2916, 12.7,-15.5,-13.9, 12, 12, 1.59,255, 5.2
 700.0, 3141, 10.8,-16.2,-14.5, 13, 13, 1.54,270, 7.2
 650.0, 3747,  5.6,-17.1,-15.3, 18, 18, 1.54,290,12.9
 621.0, 4121,  2.4,-17.6,-15.8, 21, 21, 1.55,286,14.1
 615.0, 4197,  1.9,-18.7,-16.8, 20, 20, 1.42,285,14.4
 557.0, 4979, -3.5,-30.0,-27.1, 11, 11, 0.57,300,19.0
 503.0, 5783, -9.0,-41.6,-38.0,  5,  6, 0.20,320,13.9
 500.0, 5830, -9.3,-42.3,-38.7,  5,  5, 0.19,320,13.4
 496.0, 5892, -9.7,-43.7,-40.0,  4,  5, 0.16,319,13.6
 453.0, 6574,-14.8,-45.0,-41.3,  6,  7, 0.15,305,16.0
 400.0, 7510,-21.9,-46.9,-43.0,  9, 11, 0.14,310,14.4
 352.0, 8422,-29.6,-51.4,-47.3, 10, 14, 0.10,320,11.8
 304.0, 9469,-38.5,-56.5,-52.2, 13, 20, 0.06,325,14.2
 300.0, 9560,-38.9,-54.9,-50.7, 17, 25, 0.07,325,14.4
 255.0,10650,-48.9,-54.9,-50.7, 50, 80, 0.09,325,19.5
 254.0,10676,-49.1,-56.1,-51.8, 44, 71, 0.08,325,19.6
 250.0,10780,-49.7,-61.7,-57.3, 23, 38, 0.04,325,20.1
 248.0,10833,-50.1,-62.4,-57.9, 23, 37, 0.04,325,20.1
 243.0,10966,-51.1,-64.1,-59.6, 20, 33, 0.03,328,19.6
 233.0,11236,-53.2,-65.1,-60.6, 22, 38, 0.03,335,18.5
 215.0,11753,-57.1,-67.1,-62.5, 28, 48, 0.02,327,18.0
 200.0,12210,-58.1,-72.1,-67.4, 16, 27, 0.01,320,17.5
 191.0,12498,-59.9,-71.9,-67.2, 20, 36, 0.01,320,16.5
 182.0,12799,-58.8,-77.7,-73.0,  7, 13, 0.01,310,17.0
 177.0,12973,-58.1,-81.1,-76.3,  4,  7, 0.00,314,16.3
 163.0,13489,-58.4,-83.4,-78.6,  3,  5, 0.00,325,14.4
 157.0,13724,-58.5,-84.4,-79.7,  2,  4, 0.00,305,11.3
 150.0,14010,-58.7,-85.7,-80.9,  2,  4, 0.00,300,11.3
 149.0,14052,-58.9,-85.9,-81.1,  2,  4, 0.00,299,11.4
 140.0,14433,-60.9,-86.7,-81.9,  2,  4, 0.00,285,12.4
 128.0,14980,-63.9,-87.8,-83.0,  3,  5, 0.00,310,12.4
 121.0,15324,-65.7,-88.5,-83.7,  3,  6, 0.00,280, 9.8
 115.0,15635,-67.4,-89.1,-84.3,  4,  7, 0.00,285,10.3
 106.0,16133,-70.1,-90.1,-85.3,  4,  9, 0.00,314, 9.7
 100.0,16480,-69.1,-90.1,-85.3,  4,  7, 0.00,335, 9.3
  98.0,16600,-69.6,-90.2,-85.4,  4,  8, 0.00,345, 5.2
  80.0,17803,-74.1,-91.1,-86.3,  6, 13, 0.00,285, 1.5
  76.0,18105,-72.9,-91.1,-86.3,  5, 11, 0.00,220, 5.2
  74.0,18262,-72.3,-91.1,-86.3,  5, 10, 0.00,220, 7.2
  72.0,18424,-71.7,-91.1,-86.3,  5,  9, 0.00,195, 6.7
  70.0,18590,-71.1,-91.1,-86.3,  4,  8, 0.00,205, 5.7
  65.0,19030,-67.8,-90.7,-86.0,  3,  5, 0.00,220, 0.5
  64.9,19039,-67.7,-90.7,-85.9,  3,  5, 0.00,219, 0.6
  61.0,19409,-68.8,-90.7,-85.9,  3,  6, 0.00,175, 6.2
  57.9,19720,-69.7,-90.7,-85.9,  4,  7, 0.00,191, 5.4
  50.0,20600,-65.1,-91.1,-86.3,  2,  3, 0.00,235, 3.1
  38.9,22144,-61.1,-90.1,-85.3,  1,  2, 0.00,274, 2.3
  31.2,23508,-62.9,-90.9,-86.1,  1,  3, 0.00,309, 1.7
  30.0,23750,-61.3,-90.3,-85.5,  1,  2, 0.00,315, 1.5
  27.0,24406,-60.2,-89.8,-85.1,  1,  2, 0.01,165, 5.2
  26.0,24641,-59.8,-89.6,-84.9,  1,  2, 0.01,185, 8.2
  25.2,24836,-59.5,-89.5,-84.7,  1,  2, 0.01,232, 8.4
  24.0,25140,-60.1,-90.1,-85.3,  1,  2, 0.01,305, 8.8
  23.0,25405,-60.6,-90.6,-85.8,  1,  2, 0.01,355, 5.2
  22.8,25460,-60.7,-90.7,-85.9,  1,  2, 0.01,355, 4.7
  21.0,25975,-58.8,-89.4,-84.7,  1,  2, 0.01,  0, 0.0
  20.0,26280,-57.7,-88.7,-83.9,  1,  2, 0.01,205, 3.1
  19.7,26376,-56.7,-88.7,-83.9,  1,  2, 0.01,   ,    
