time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-01-28 11:02:30,-83.8210,39.4211, 984.7,  323,-18.6,-20.2,-18.1, 87,105, 0.78,214, 2.6
2026-01-28 11:02:31,-83.8209,39.4212, 983.8,  330,-18.0,-19.6,-17.6, 87,104, 0.82,260, 5.6
2026-01-28 11:02:32,-83.8208,39.4212, 982.9,  336,-17.5,-19.1,-17.1, 87,104, 0.86,261, 5.8
2026-01-28 11:02:33,-83.8207,39.4212, 982.0,  343,-16.9,-18.5,-16.6, 87,103, 0.90,262, 6.0
2026-01-28 11:02:34,-83.8206,39.4212, 981.1,  350,-16.3,-18.0,-16.1, 87,102, 0.95,262, 6.1
2026-01-28 11:02:35,-83.8205,39.4213, 980.2,  357,-15.7,-17.4,-15.6, 87,101, 0.99,263, 6.3
2026-01-28 11:02:36,-83.8204,39.4213, 979.3,  364,-15.2,-16.9,-15.1, 87,101, 1.04,264, 6.5
2026-01-28 11:02:37,-83.8203,39.4213, 978.5,  370,-14.9,-16.7,-14.9, 87,100, 1.06,264, 6.7
2026-01-28 11:02:38,-83.8201,39.4213, 977.6,  377,-14.9,-16.7,-14.9, 86, 99, 1.06,264, 6.8
2026-01-28 11:02:39,-83.8200,39.4214, 976.7,  384,-14.8,-16.8,-15.0, 85, 98, 1.06,265, 7.0
2026-01-28 11:02:40,-83.8199,39.4214, 975.9,  390,-14.7,-16.8,-15.0, 84, 97, 1.05,265, 7.1
2026-01-28 11:02:41,-83.8198,39.4214, 975.0,  397,-14.7,-16.9,-15.1, 83, 96, 1.05,265, 7.3
2026-01-28 11:02:42,-83.8197,39.4214, 974.2,  403,-14.6,-16.9,-15.1, 82, 95, 1.05,266, 7.5
2026-01-28 11:02:43,-83.8196,39.4215, 973.4,  410,-14.5,-17.0,-15.2, 82, 94, 1.04,266, 7.6
2026-01-28 11:02:44,-83.8195,39.4215, 972.6,  417,-14.5,-17.0,-15.2, 81, 93, 1.04,266, 7.8
2026-01-28 11:02:45,-83.8194,39.4215, 971.8,  423,-14.4,-17.1,-15.3, 80, 92, 1.03,267, 7.9
2026-01-28 11:02:46,-83.8193,39.4215, 971.0,  429,-14.3,-17.1,-15.3, 79, 91, 1.03,267, 8.0
2026-01-28 11:02:47,-83.8192,39.4215, 970.2,  435,-14.2,-17.2,-15.4, 78, 90, 1.02,267, 8.0
2026-01-28 11:02:48,-83.8191,39.4215, 969.4,  440,-14.2,-17.3,-15.4, 77, 89, 1.02,267, 8.1
2026-01-28 11:02:49,-83.8190,39.4215, 968.5,  448,-14.1,-17.4,-15.5, 76, 88, 1.01,268, 8.2
2026-01-28 11:02:50,-83.8189,39.4215, 968.0,  452,-14.1,-17.4,-15.6, 76, 87, 1.01,268, 8.2
2026-01-28 11:02:51,-83.8188,39.4215, 967.3,  457,-14.1,-17.5,-15.7, 76, 87, 1.00,268, 8.2
2026-01-28 11:02:52,-83.8187,39.4215, 966.6,  463,-14.2,-17.6,-15.8, 75, 86, 0.99,268, 8.3
2026-01-28 11:02:53,-83.8186,39.4215, 965.9,  468,-14.2,-17.7,-15.8, 75, 86, 0.99,269, 8.3
2026-01-28 11:02:54,-83.8185,39.4216, 965.2,  473,-14.2,-17.8,-15.9, 74, 85, 0.98,269, 8.4
2026-01-28 11:02:55,-83.8184,39.4216, 964.6,  478,-14.2,-17.9,-16.0, 74, 85, 0.97,269, 8.4
2026-01-28 11:02:56,-83.8183,39.4216, 963.9,  484,-14.3,-18.0,-16.1, 73, 85, 0.97,269, 8.5
2026-01-28 11:02:57,-83.8182,39.4216, 963.3,  489,-14.3,-18.1,-16.2, 73, 84, 0.96,269, 8.5
2026-01-28 11:02:58,-83.8181,39.4216, 962.6,  494,-14.3,-18.2,-16.3, 73, 84, 0.95,270, 8.6
2026-01-28 11:02:59,-83.8180,39.4216, 961.9,  499,-14.3,-18.3,-16.3, 72, 83, 0.94,269, 8.6
2026-01-28 11:03:00,-83.8179,39.4216, 961.3,  504,-14.4,-18.4,-16.4, 72, 83, 0.94,269, 8.6
2026-01-28 11:03:01,-83.8178,39.4216, 960.6,  509,-14.4,-18.4,-16.5, 71, 82, 0.93,268, 8.6
2026-01-28 11:03:02,-83.8177,39.4216, 960.0,  514,-14.4,-18.5,-16.6, 71, 82, 0.92,268, 8.6
2026-01-28 11:03:03,-83.8176,39.4216, 959.3,  519,-14.4,-18.6,-16.7, 70, 81, 0.92,267, 8.6
2026-01-28 11:03:04,-83.8175,39.4216, 958.7,  525,-14.5,-18.7,-16.7, 70, 81, 0.91,267, 8.6
2026-01-28 11:03:05,-83.8174,39.4216, 958.0,  530,-14.5,-18.7,-16.8, 70, 81, 0.91,266, 8.7
2026-01-28 11:03:06,-83.8173,39.4216, 957.4,  535,-14.5,-18.8,-16.8, 70, 81, 0.91,266, 8.7
2026-01-28 11:03:07,-83.8172,39.4216, 956.7,  540,-14.6,-18.8,-16.9, 70, 81, 0.90,265, 8.7
2026-01-28 11:03:08,-83.8171,39.4216, 956.1,  546,-14.6,-18.9,-16.9, 70, 81, 0.90,265, 8.7
2026-01-28 11:03:09,-83.8170,39.4217, 955.4,  551,-14.6,-18.9,-17.0, 70, 80, 0.90,264, 8.7
2026-01-28 11:03:10,-83.8169,39.4217, 954.7,  556,-14.7,-19.0,-17.0, 70, 80, 0.89,264, 8.7
2026-01-28 11:03:11,-83.8168,39.4217, 954.1,  562,-14.7,-19.0,-17.1, 69, 80, 0.89,263, 8.7
2026-01-28 11:03:12,-83.8167,39.4217, 953.4,  567,-14.7,-19.1,-17.1, 69, 80, 0.89,263, 8.7
2026-01-28 11:03:13,-83.8166,39.4217, 952.7,  572,-14.8,-19.1,-17.2, 69, 80, 0.88,263, 8.8
2026-01-28 11:03:14,-83.8165,39.4217, 952.0,  577,-14.8,-19.2,-17.2, 69, 80, 0.88,262, 8.8
2026-01-28 11:03:15,-83.8164,39.4217, 951.3,  583,-14.8,-19.2,-17.2, 69, 80, 0.88,262, 8.8
2026-01-28 11:03:16,-83.8163,39.4217, 950.6,  588,-14.8,-19.3,-17.3, 69, 80, 0.87,261, 8.8
2026-01-28 11:03:17,-83.8162,39.4218, 949.9,  594,-14.9,-19.4,-17.3, 69, 79, 0.87,260, 8.8
2026-01-28 11:03:18,-83.8161,39.4218, 949.2,  600,-14.9,-19.4,-17.4, 69, 79, 0.87,260, 8.8
2026-01-28 11:03:19,-83.8160,39.4218, 948.5,  606,-15.0,-19.5,-17.4, 69, 79, 0.86,259, 8.8
2026-01-28 11:03:20,-83.8159,39.4219, 947.8,  612,-15.0,-19.5,-17.5, 68, 79, 0.86,258, 8.8
2026-01-28 11:03:21,-83.8158,39.4219, 947.0,  618,-15.0,-19.6,-17.5, 68, 79, 0.86,258, 8.8
2026-01-28 11:03:22,-83.8157,39.4219, 946.3,  624,-15.1,-19.6,-17.6, 68, 79, 0.86,257, 8.8
2026-01-28 11:03:23,-83.8156,39.4220, 945.6,  630,-15.1,-19.7,-17.6, 68, 79, 0.85,256, 8.8
2026-01-28 11:03:24,-83.8155,39.4220, 944.8,  635,-15.1,-19.7,-17.7, 68, 79, 0.85,256, 8.8
