time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-03-20 23:02:22,-99.9695,37.7626,1000.0,   75,     ,     ,     ,   ,   ,     ,   ,    
2026-03-20 23:02:22,-99.9695,37.7626, 925.0,  777,     ,     ,     ,   ,   ,     ,   ,    
2026-03-20 23:02:22,-99.9695,37.7626, 923.7,  789, 31.1, -4.0, -3.6, 10, 10, 3.07,360, 5.1
2026-03-20 23:02:27,-99.9695,37.7623, 923.4,  792, 31.2, -4.3, -3.8, 10, 10, 3.01,350, 2.9
2026-03-20 23:02:28,-99.9695,37.7622, 923.2,  794, 31.1, -4.7, -4.2, 10, 10, 2.92,349, 3.1
2026-03-20 23:02:29,-99.9695,37.7621, 922.9,  797, 31.0, -5.1, -4.5,  9,  9, 2.84,349, 3.2
2026-03-20 23:02:30,-99.9695,37.7621, 922.4,  802, 30.8, -5.3, -4.7,  9,  9, 2.79,348, 3.3
2026-03-20 23:02:31,-99.9695,37.7621, 921.6,  810, 30.6, -5.4, -4.8,  9,  9, 2.77,348, 3.4
2026-03-20 23:02:32,-99.9695,37.7620, 920.7,  818, 30.5, -5.3, -4.7,  9,  9, 2.79,347, 3.5
2026-03-20 23:02:33,-99.9694,37.7620, 919.9,  826, 30.4, -5.3, -4.7, 10, 10, 2.80,347, 3.6
2026-03-20 23:02:34,-99.9694,37.7620, 919.2,  833, 30.3, -5.3, -4.7, 10, 10, 2.80,346, 3.6
2026-03-20 23:02:35,-99.9694,37.7620, 918.7,  838, 30.3, -5.4, -4.8, 10, 10, 2.78,346, 3.7
2026-03-20 23:02:36,-99.9694,37.7620, 918.3,  842, 30.2, -5.4, -4.8, 10, 10, 2.77,345, 3.7
2026-03-20 23:02:37,-99.9694,37.7619, 917.8,  846, 30.2, -5.4, -4.8, 10, 10, 2.78,344, 3.8
2026-03-20 23:02:38,-99.9693,37.7619, 917.3,  851, 30.1, -5.4, -4.8, 10, 10, 2.79,344, 3.8
2026-03-20 23:02:39,-99.9693,37.7618, 916.7,  857, 30.1, -5.4, -4.8, 10, 10, 2.80,343, 3.8
2026-03-20 23:02:40,-99.9693,37.7618, 916.1,  863, 30.0, -5.4, -4.8, 10, 10, 2.80,343, 3.8
2026-03-20 23:02:41,-99.9693,37.7617, 915.6,  868, 29.9, -5.4, -4.8, 10, 10, 2.79,342, 3.8
2026-03-20 23:02:42,-99.9694,37.7617, 915.3,  871, 29.9, -5.4, -4.8, 10, 10, 2.79,342, 3.8
2026-03-20 23:02:43,-99.9694,37.7617, 915.1,  872, 29.8, -5.4, -4.8, 10, 10, 2.79,341, 3.8
2026-03-20 23:02:44,-99.9694,37.7617, 914.9,  874, 29.8, -5.4, -4.8, 10, 10, 2.78,340, 3.7
2026-03-20 23:02:45,-99.9694,37.7617, 914.3,  880, 29.7, -5.4, -4.8, 10, 10, 2.79,340, 3.7
2026-03-20 23:02:46,-99.9693,37.7617, 913.3,  890, 29.6, -5.4, -4.8, 10, 10, 2.79,339, 3.7
2026-03-20 23:02:47,-99.9693,37.7616, 912.1,  901, 29.6, -5.4, -4.8, 10, 10, 2.79,339, 3.7
2026-03-20 23:02:48,-99.9693,37.7616, 911.1,  911, 29.5, -5.4, -4.8, 10, 10, 2.79,339, 3.7
2026-03-20 23:02:49,-99.9693,37.7615, 910.3,  919, 29.4, -5.5, -4.8, 10, 10, 2.79,339, 3.6
2026-03-20 23:02:50,-99.9693,37.7615, 909.7,  925, 29.4, -5.5, -4.9, 10, 10, 2.79,339, 3.6
2026-03-20 23:02:51,-99.9693,37.7614, 909.2,  930, 29.3, -5.6, -4.9, 10, 10, 2.78,339, 3.6
2026-03-20 23:02:52,-99.9692,37.7614, 908.8,  933, 29.3, -5.6, -5.0, 10, 10, 2.77,339, 3.5
2026-03-20 23:02:53,-99.9692,37.7614, 908.4,  938, 29.2, -5.6, -5.0, 10, 10, 2.77,339, 3.5
2026-03-20 23:02:54,-99.9691,37.7613, 907.7,  944, 29.2, -5.6, -4.9, 10, 10, 2.78,340, 3.5
2026-03-20 23:02:55,-99.9690,37.7613, 907.0,  951, 29.1, -5.6, -5.0, 10, 10, 2.78,340, 3.5
2026-03-20 23:02:56,-99.9690,37.7613, 906.3,  958, 29.1, -5.6, -5.0, 10, 10, 2.77,341, 3.5
2026-03-20 23:02:57,-99.9690,37.7613, 905.7,  964, 29.0, -5.7, -5.0, 10, 10, 2.77,342, 3.5
2026-03-20 23:02:58,-99.9690,37.7613, 905.2,  969, 29.0, -5.7, -5.1, 10, 10, 2.75,343, 3.4
2026-03-20 23:02:59,-99.9690,37.7613, 904.8,  973, 28.9, -5.7, -5.1, 10, 10, 2.75,344, 3.4
2026-03-20 23:03:00,-99.9690,37.7613, 904.5,  976, 28.9, -5.8, -5.1, 10, 10, 2.75,345, 3.4
2026-03-20 23:03:01,-99.9691,37.7612, 904.2,  979, 28.8, -5.7, -5.1, 10, 10, 2.76,346, 3.5
2026-03-20 23:03:02,-99.9691,37.7612, 904.0,  981, 28.8, -5.6, -5.0, 10, 10, 2.78,348, 3.5
2026-03-20 23:03:03,-99.9691,37.7611, 903.6,  985, 28.7, -5.6, -5.0, 10, 10, 2.79,349, 3.5
2026-03-20 23:03:04,-99.9690,37.7611, 903.0,  990, 28.7, -5.6, -4.9, 10, 10, 2.79,351, 3.5
2026-03-20 23:03:05,-99.9690,37.7610, 902.3,  998, 28.6, -5.6, -4.9, 10, 10, 2.80,352, 3.6
2026-03-20 23:03:06,-99.9689,37.7610, 901.5, 1005, 28.6, -5.6, -5.0, 10, 10, 2.79,354, 3.6
2026-03-20 23:03:07,-99.9689,37.7610, 900.8, 1012, 28.5, -5.6, -5.0, 10, 10, 2.80,355, 3.6
2026-03-20 23:03:08,-99.9689,37.7610, 900.2, 1018, 28.5, -5.5, -4.9, 10, 10, 2.81,357, 3.7
2026-03-20 23:03:09,-99.9690,37.7610, 899.6, 1024, 28.4, -5.5, -4.9, 11, 11, 2.83,358, 3.8
2026-03-20 23:03:10,-99.9690,37.7609, 899.1, 1029, 28.3, -5.4, -4.8, 11, 11, 2.84,359, 3.8
2026-03-20 23:03:11,-99.9690,37.7609, 898.6, 1034, 28.3, -5.4, -4.8, 11, 11, 2.83,360, 3.9
2026-03-20 23:03:12,-99.9690,37.7608, 898.1, 1039, 28.2, -5.5, -4.9, 11, 11, 2.83,  1, 4.0
2026-03-20 23:03:13,-99.9690,37.7608, 897.7, 1043, 28.1, -5.5, -4.9, 11, 11, 2.82,  2, 4.0
2026-03-20 23:03:14,-99.9690,37.7608, 897.2, 1048, 28.1, -5.6, -5.0, 11, 11, 2.81,  2, 4.1
2026-03-20 23:03:15,-99.9690,37.7607, 896.5, 1054, 28.1, -5.6, -5.0, 11, 11, 2.81,  3, 4.2
2026-03-20 23:03:16,-99.9690,37.7607, 895.9, 1061, 28.0, -5.5, -4.9, 11, 11, 2.82,  4, 4.3
2026-03-20 23:03:17,-99.9690,37.7607, 895.3, 1066, 28.0, -5.5, -4.9, 11, 11, 2.83,  4, 4.4
2026-03-20 23:03:18,-99.9690,37.7606, 894.8, 1071, 27.9, -5.4, -4.8, 11, 11, 2.84,  4, 4.4
2026-03-20 23:03:19,-99.9690,37.7606, 894.3, 1076, 27.9, -5.5, -4.9, 11, 11, 2.84,  4, 4.5
2026-03-20 23:03:20,-99.9691,37.7605, 893.7, 1082, 27.8, -5.5, -4.9, 11, 11, 2.84,  4, 4.6
2026-03-20 23:03:21,-99.9691,37.7604, 893.1, 1089, 27.7, -5.6, -4.9, 11, 11, 2.82,  4, 4.7
2026-03-20 23:03:22,-99.9691,37.7604, 892.5, 1094, 27.7, -5.6, -5.0, 11, 11, 2.81,  4, 4.7
2026-03-20 23:03:23,-99.9691,37.7604, 891.9, 1100, 27.6, -5.7, -5.1, 11, 11, 2.80,  4, 4.8
2026-03-20 23:03:24,-99.9691,37.7603, 891.5, 1104, 27.6, -5.7, -5.1, 11, 11, 2.80,  4, 4.9
2026-03-20 23:03:25,-99.9690,37.7603, 891.1, 1108, 27.6, -5.7, -5.1, 11, 11, 2.80,  4, 5.0
2026-03-20 23:03:26,-99.9690,37.7603, 890.8, 1111, 27.5, -5.6, -5.0, 11, 11, 2.82,  4, 5.0
2026-03-20 23:03:27,-99.9690,37.7602, 890.4, 1114, 27.5, -5.5, -4.9, 11, 11, 2.84,  3, 5.1
2026-03-20 23:03:28,-99.9690,37.7601, 890.1, 1118, 27.5, -5.5, -4.9, 11, 11, 2.85,  3, 5.2
2026-03-20 23:03:29,-99.9690,37.7600, 889.7, 1121, 27.5, -5.5, -4.9, 11, 11, 2.85,  2, 5.2
2026-03-20 23:03:30,-99.9690,37.7600, 889.3, 1125, 27.4, -5.5, -4.9, 11, 11, 2.84,  2, 5.3
2026-03-20 23:03:31,-99.9691,37.7599, 888.9, 1129, 27.4, -5.6, -4.9, 11, 11, 2.84,  2, 5.3
2026-03-20 23:03:32,-99.9691,37.7599, 888.5, 1133, 27.3, -5.6, -4.9, 11, 11, 2.84,  1, 5.4
2026-03-20 23:03:33,-99.9691,37.7599, 888.1, 1137, 27.3, -5.5, -4.9, 11, 11, 2.85,  1, 5.4
2026-03-20 23:03:34,-99.9691,37.7599, 887.7, 1141, 27.2, -5.5, -4.9, 11, 11, 2.85,360, 5.5
2026-03-20 23:03:35,-99.9691,37.7599, 887.3, 1145, 27.2, -5.5, -4.9, 11, 11, 2.85,360, 5.5
2026-03-20 23:03:36,-99.9691,37.7598, 887.0, 1149, 27.1, -5.6, -5.0, 11, 11, 2.84,359, 5.5
2026-03-20 23:03:37,-99.9691,37.7597, 886.6, 1152, 27.1, -5.6, -5.0, 11, 11, 2.84,359, 5.6
2026-03-20 23:03:38,-99.9691,37.7597, 886.2, 1156, 27.1, -5.6, -5.0, 11, 11, 2.84,358, 5.6
2026-03-20 23:03:39,-99.9691,37.7596, 885.8, 1160, 27.1, -5.6, -4.9, 11, 11, 2.85,358, 5.6
2026-03-20 23:03:40,-99.9691,37.7595, 885.4, 1164, 27.0, -5.6, -5.0, 11, 11, 2.85,357, 5.6
2026-03-20 23:03:41,-99.9691,37.7595, 885.0, 1168, 27.0, -5.6, -5.0, 11, 11, 2.84,357, 5.6
2026-03-20 23:03:42,-99.9691,37.7594, 884.6, 1172, 26.9, -5.7, -5.1, 11, 11, 2.82,356, 5.5
2026-03-20 23:03:43,-99.9690,37.7594, 884.2, 1176, 26.9, -5.8, -5.1, 11, 11, 2.81,356, 5.5
2026-03-20 23:03:44,-99.9690,37.7593, 883.9, 1179, 26.9, -5.8, -5.1, 11, 11, 2.81,355, 5.5
2026-03-20 23:03:45,-99.9690,37.7592, 883.5, 1183, 26.9, -5.8, -5.2, 11, 11, 2.80,355, 5.4
2026-03-20 23:03:46,-99.9690,37.7592, 883.1, 1187, 26.8, -5.9, -5.2, 11, 11, 2.79,355, 5.4
2026-03-20 23:03:47,-99.9690,37.7591, 882.7, 1191, 26.8, -5.9, -5.3, 11, 11, 2.78,354, 5.3
2026-03-20 23:03:48,-99.9690,37.7591, 882.3, 1195, 26.8, -5.9, -5.2, 11, 11, 2.79,354, 5.3
2026-03-20 23:03:49,-99.9691,37.7590, 881.9, 1199, 26.7, -5.8, -5.1, 11, 11, 2.81,354, 5.2
2026-03-20 23:03:50,-99.9690,37.7590, 881.5, 1203, 26.6, -5.7, -5.1, 11, 11, 2.83,353, 5.1
2026-03-20 23:03:51,-99.9690,37.7589, 881.1, 1207, 26.6, -5.8, -5.1, 11, 11, 2.82,353, 5.1
2026-03-20 23:03:52,-99.9690,37.7589, 880.7, 1212, 26.6, -5.9, -5.2, 11, 11, 2.80,353, 5.0
2026-03-20 23:03:53,-99.9689,37.7589, 880.2, 1216, 26.6, -5.9, -5.3, 11, 11, 2.79,353, 4.9
